# Chataigne 简体中文 / English translation table
# Format: 中文<TAB>English
# Keep English source text stable; user-created names and project data are not part of this file.
文件	File
冒号（:）分隔	Colon (:) separated
分号（;）分隔	Semicolon (;) separated
移除自定义模块	Remove custom module
制表符分隔	Tab separated
单次向下渐变 (dooooooooo)	Single ramp down (dooooooooo)
反馈	Feedback
发现较新的自动保存文件，是否恢复？	A more recent autosave file has been found, do you want to restore it ?
发送原始值	Send original value
发送新值	Send new value
合并到组（之后）	Merge into group (after)
向上渐变 (.....vvvoooeeeeee)	Ramp Up (.....vvvoooeeeeee)
RGBA 浮点	RGBA Float
右 Slider	Right Slider
Rotary Slider	Rotary Slider
旋转 X	Rotate X
旋转 Y	Rotate Y
旋转 Z	Rotate Z
圆形	Round
sACN/E1.31	sACN/E1.31
饱和度	Saturation
星期六	Saturday
锯齿波	Saw
缩放	Scale
ScaleH	ScaleH
ScaleW	ScaleW
已选择 Clip	Selected Clip
已选择 层	Selected Layer
发送	Send
九月	September
SEQUENTIAL	SEQUENTIAL
Simple	Simple
正弦	Sine
稳定版	Stable
以此开头	Starts With
停止	Stop
已停止	Stopped
StreamDeck (15 buttons)	StreamDeck (15 buttons)
StreamDeck Mini (6 buttons)	StreamDeck Mini (6 buttons)
StreamDeck XL (32 buttons)	StreamDeck XL (32 buttons)
字符串	String
减法	Subtract
求和	Sum
星期日	Sunday
T-F	T-F
星期四	Thursday
切换按钮	Toggle Button
切换复选框	Toggle Checkbox
Transition	Transition
三角波	Triangle
星期二	Tuesday
uInt16	uInt16
uInt32	uInt32
大写	UPPERCASE
垂直	Vertical
垂直条	Vertical Bar
垂直滑块	Vertical Slider
Warming 上	Warming Up
警告	Warning
星期三	Wednesday
Weights	Weights
宽度	Width
Will 播放	Will Play
Windows	Windows
XML	XML
YIN	YIN
Loupedeck Live	Loupedeck Live
小驼峰	lowerCamelCase
小写	lowercase
LSB	LSB
MacOS	MacOS
三月	March
最大值	Max
五月	May
Middle	Middle
最小值	Min
取模	Modulo
瞬时按钮	Momentary Button
瞬时复选框	Momentary Checkbox
星期一	Monday
MPM	MPM
MSB	MSB
乘法	Multiply
下一个选项	Next Option
未设置	Not set
音符关闭	Note Off
音符开启	Note On
十一月	November
编号	Number
十月	October
不透明度	Opacity
Open DMX	Open DMX
OR	OR
声像	Pan
暂停	Pause
Perlin	Perlin
物理	Physics
乒乓	Ping Pong
音高 滚轮	Pitch Wheel
播放中	Playing
位置 X	Position X
位置 Y	Position Y
PowerPoint 插件已安装	Powerpoint plugin installed
上一个选项	Previous Option
Proportional	Proportional
Ramp (vuuuuuu-ve)	Ramp (vuuuuuu-ve)
斜坡（快速上升）	Ramp (vuuuuuu-vu)
原始	Raw
接收	Receive
录制	Recording
矩形	Rectangle
Resolume 5	Resolume 5
Resolume 6	Resolume 6
Resolume 6.0.9+	Resolume 6.0.9+
反向锯齿波	Reverse Saw
倒回	Rewind
RGB	RGB
RGB 乘以 A	RGB multiplied with A
RGB 浮点	RGB Float
RGBA	RGBA
冷却	Cooling
自定义字符	Custom character
Data255	Data255
停用	Deactivate
十二月	December
Deck	Deck
默认	Default
Deferred 播放	Deferred play
Difference	Difference
直接	Direct
距离	Distance
除法	Divide
椭圆	Ellipse
以此结尾	Ends with
Enttec DMX MkII	Enttec DMX MkII
Enttec DMX Pro	Enttec DMX Pro
等于	Equals
错误	Error
完全匹配	Exact match
二月	February
浮点数	Float
Floor	Floor
自由	Free
法语	French
星期五	Friday
渐变带	Gradient Band
高度	Height
十六进制	Hexadecimal
Hold	Hold
水平	Horizontal
水平条	Horizontal Bar
水平滑块	Horizontal Slider
HSV	HSV
色相	Hue
Idle	Idle
信息	Info
整数	Int
整数	Integer
插值	Interpolate
反向	Inverse
Invert 日志	Invert Log
一月	January
JSON	JSON
七月	July
六月	June
保持	Keep
左 Slider	Left Slider
Linear (Douglas-Peucker)	Linear (Douglas-Peucker)
Linear Interactive	Linear Interactive
Lines	Lines
Linux	Linux
LiveOSC2 插件已安装	LiveOSC2 plugin installed
Loupedeck CT	Loupedeck CT
[源模块]	[Source Module]
[输出模块]	[Out Module]
1 字节	1 byte
16 位 LSB	16-bit LSB
16 位 MSB	16-bit MSB
2 字节（Int16）	2 bytes (Int16)
24	24
25	25
29.97	29.97
30	30
30 (1125_60)	30 (1125_60)
30 (525_60)	30 (525_60)
30 drop	30 drop
4 字节（Int32）	4 bytes (Int32)
4x4 (floats)	4x4 (floats)
4x4 (RGBA colors)	4x4 (RGBA colors)
8 位	8-bit
绝对	Absolute
激活	Activate
添加	Add
调整	Adjust
Ajazz AKP03 (6 keys, 3 knobs/screens)	Ajazz AKP03 (6 keys, 3 knobs/screens)
Ajazz AKP05 (10 keys, 4 knobs/screens)	Ajazz AKP05 (10 keys, 4 knobs/screens)
Ajazz AKP153 (15 keys, 3 side displays)	Ajazz AKP153 (15 keys, 3 side displays)
Alarm (vu-ve-ve-ve-ve)	Alarm (vu-ve-ve-ve-ve)
全部	All
Alt 0	Alt 0
Alt 1	Alt 1
Alt 2	Alt 2
Alt 3	Alt 3
Alt 4	Alt 4
Alt 5	Alt 5
锚点 X	Anchor X
锚点 Y	Anchor Y
锚点 Z	Anchor Z
AND	AND
四月	April
Area	Area
ARGB	ARGB
Art-Net	Art-Net
八月	August
自动	Auto
平均	Average
Bezier	Bezier
Bezier (Least square)	Bezier (Least square)
布尔值	Boolean
两者	Both
驼峰式	CamelCase
Ceil	Ceil
Center	Center
中文	Chinese
COBS	COBS
颜色圆形	Color Circle
颜色矩形	Color Rectangle
颜色方形	Color Square
Composition	Composition
包含	Contains
Control Change	Control Change
复制此行	Copy this line
更新错误	Update error
文件兼容性检查	File compatibility check
恢复自动保存文件	Restore autosave
需要声卡模块	Sound Card Module is required
是	Yes
否	No
好的，偶尔会出错	Well, shit happens
确定要删除偏好设置吗？	Are you sure you want to delete the Preferences ?
拉伸	Stretch
当前	Current
已选择	Selected
工具提示	Tooltip
斜坡（快速下降）	Ramp (vuuuuuu-ve-ve)
如果勾选，应用会在系统启动时自动运行	If checked, this app will automatically launch on system startup
如果勾选，应用启动时会自动最小化	If checked, this app will automatically minimized it self when launched
如果勾选，可以同时运行多个应用实例（在 Mac 上不适用，需要实际复制应用）	If checked, it will be possible to launch multiple instances of this application at the same time (not working on Mac, you would have to actually duplicate the app)
启用后，应用会检查是否有可用更新	If enabled, app will check if any updates are available
选择获取软件更新的渠道	Channel to pull software updates from
启用后，应用会尝试将最新帮助文件下载到本地	If enabled, app will try and download the last help file locally
启用后，应用会在启动时加载上一个 .noisette 文件	If enabled, app will load the last .noisette on startup
启用后，应用会在启动时加载下方指定的 .noisette 文件	If enabled, app will load the .noisette specified below on startup
如果勾选上方选项，启动时要加载的文件	File to load when start, if the option above is checked
如果勾选，关闭主窗口会将窗口从桌面移除并放入系统托盘，但应用仍会继续运行	If checked, closing the main window will remove the window from desktop and put it on the system tray, but the app will still be running
适用于高分辨率显示器的整体界面缩放百分比。更改会立即应用。	Overall interface scale percentage for high-DPI displays. Changes are applied immediately.
界面使用的字体。更改会立即应用；不可用的字体会回退到系统默认字体。	Typeface used by the interface. Changes are applied immediately; unavailable fonts fall back to the system default.
全局界面字号。所有标准界面文字都会遵循此设置。	Global interface font size. All standard interface text follows this setting.
全局界面字重。不支持所选字重的字体会使用最接近的可用样式。	Global interface font weight. Fonts without the selected weight use their closest available style.
完整界面创建后清除字形缓存。如果文字在点击“重新加载字体渲染器”前出现乱码，请启用此项。	Clears the glyph caches once the complete interface has been created. Enable this if text is corrupted until Reload font renderer is clicked.
启动时重新加载字体渲染器前的延迟（毫秒）。如果启动后仍有面板乱码，请增大此数值。	Delay in milliseconds before the startup font renderer reload. Increase this if some panels are still corrupted after startup.
清除软件和 OpenGL 字形缓存，重新布局所有组件并重绘完整界面。	Clears the software and OpenGL glyph caches, relayouts every component, and redraws the complete interface.
如果勾选，将在鼠标悬停于参数上时显示工具提示	If checked, this will show tooltips when mouse is over a parameter
要下载哪种语言？需要重启软件才能看到更改	What language to download ? You will need to restart the software to see changes
为界面使用硬件加速。如果 GPU 驱动导致文字变形，请禁用此项以立即切换到软件渲染器；如果界面无法读取，可使用 -forceNoGL 启动参数。	Use hardware acceleration for the interface. Disable this to switch immediately to the software renderer if a GPU driver causes distorted text. The -forceNoGL launch argument is available if the interface is unreadable.
界面刷新率（Hz）	The refresh rate of the UI in hz
日志刷新率（Hz）	The refresh rate of the logger in hz
如果勾选，主窗口将始终置于其他窗口之上	If checked, the main window will be always on top the others windows
启用后，每 5 分钟会保存一个备份文件	When enabled, a backup file will be saved every 5 min
如果勾选，自动保存时也会保存当前文件	If checked, the current file will be saved as well when auto-saving
如果勾选，仅在检测到更改时自动保存	If checked, the auto-save will only save when a change is detected
如果勾选，启动时发现更新的自动保存文件会询问是否恢复	If checked, the app will ask to restore the auto-saved file on startup if a more recent auto-saved file has been found
要自动保存的备份文件数量	The number of backup files to auto-save
两次自动保存之间的时间间隔（分钟）	The time in minutes between two auto-saves (will)
如果勾选，JSON 内容会被压缩；否则内容易读，但文件也会更大	If checked, the JSON content will be minified, otherwise it will be human-readable but larger size as well
如果勾选，自动保存操作会记录到日志中	If checked, the auto-save will be logged in the logger
决定崩溃时要执行的操作。默认显示崩溃报告窗口	This determines what to do on a crash. Default shows the crash report window
如果勾选且崩溃操作不是“报告”，崩溃日志会自动发送给开发团队	If checked and action on crash is not Report, the crash log will be automatically sent to the developer team
如果希望开发团队联系你，请填写邮箱地址	A mail address to use if you wish to be contacted by the developer team
这会导致应用崩溃，用于测试崩溃处理。除非你真的确定，否则不要触发！！！	This will cause a crash, allowing for testing crashes. Don't push this unless you REALLY want to !!!
如果勾选，日志内容会自动保存到文件	If checked, the content of the Logger will be automatically saved to a file
启用后，删除任何项目之前都会显示确认提示	If enabled, you will get a confirmation prompt before removing any item
使用 Alt 编辑滑块时的缩放系数	Scale factor for editing sliders with alt
创建新的自动化关键帧时默认使用的缓动	Easing that is set by default when creating new automation keys
通过发送基本的启动/停止/崩溃信息来帮助改进软件	This helps me improve the software by sending basic start/stop/crash infos
选择 Chataigne 界面使用的语言	Select the language used by the Chataigne interface
完整命令行	Full commandline
从这里开始添加模块，以连接其他软件或实体设备。	Start here by adding a module to connect to another software or a physical device.
你可以先在这里创建一个组来管理自己的变量。	You can manage you own variables by first creating a group here.
创建状态即可添加交互	Add interaction by creating a State
选择一个对象以在此处编辑其参数	Select an object to edit its parameters here
创建序列即可添加定时动画和控制	Add timed animation and control by creating a sequence
请从“序列”面板创建一个序列，以便在此处编辑。	Create a sequence from the Sequences Panel to edit this sequence here.
全选	Select All
取消全选	Deselect All
全部路由	Route All
源值	Source Values
文件路径	File Path
IP 1	IP 1
学习	Learn
新建布尔参数	New Bool Parameter
新建颜色参数	New Color Parameter
新建文件参数	New FileParameter
新建浮点参数	New Float Parameter
新建整数参数	New Int Parameter
新建 MIDI 值参数	New MIDI Value Parameter
新建字符串参数	New StringParameter
新建目标参数	New TargetParameter
音符模式	Note Mode
输出	Out
进度	Progression
接收频率	Receive Frequency
同步设备	Sync Devices
目标	Target 
新建枚举参数	new Enum Parameter
如果勾选，跳转时间时该值将经过映射	 If checked, this will force the value to go through the mapping when jumping time
如果勾选，序列开始播放时该值将经过映射	 If checked, this will force the value to go through the mapping when sequence starts playing
如果勾选，序列停止播放时该值将经过映射	 If checked, this will force the value to go through the mapping when sequence stops playing
应用于原始文件音量的乘数	A multiplier to apply to the volume of the original file
此命令要执行的操作	Action to do for this command
启用或禁用将仪表板公开为 Web 服务器	Activates / Deactivates exposing Dashboard as a webserver
自动添加收到的所有消息\n并根据消息内容尝试创建对应的值。	Add automatically any message that is received\nand try to create the corresponding value depending on the message content.
在映射值前添加一些数据\n此操作不会自动追加空格！	Add some data before the mapped value\nThis does NOT automatically append a whitespace !
启动应用时的其他选项	Additional options when launching the app
要加入的多播组地址。PosiStageNet 默认值为 236.10.10.10	Address of the multicast group to join. PosiStageNet default is 236.10.10.10
追加到模块基础地址的地址	Address to append to the module's base address
要发送到的地址	Address to send to
OSC 消息地址（例如 /example）	Adress of the OSC Message (e.g. /example)
每次调用的随机程度	Amount of randomness in each call
要监视、启动和终止的应用文件	App File to watch, launch and kill
末尾追加 CR（回车符）	Append CR (Charriot Return) at the end
末尾追加 NL（换行符）	Append NL (New Line) at the end
在消息末尾追加 \\n	Append \\n at the end of the message
在消息末尾追加 \\r	Append \\r at the end of the message
是否所有启用的客户端都已连接？	Are all enabled client connected ?
所有投影机是否都已关闭？	Are all projectors powered off ?
所有投影机是否都已开启？	Are all projectors powered on ?
当前是否正在播放音符	At least one note is playing right now
吸引力	Attraction force
带物理效果的二维插值控制中的吸引力	Attraction in a 2D interpolation control mode with physics
自动添加收到但不在列表中的 MIDI 值	Auto Add MIDI values that are received but not in the list
要连接的 BLE 设备	BLE Device to connect
输入 MIDI 时钟检测到的 BPM	BPM detected by the incoming MIDI Clock
Ableton 的 BPM	BPM from Ableton
背光亮度	Backlight brightness
背光强度	Backlight intensity
Wiimote 的电量	Battery level of the wiimote
每分钟节拍数（数值越大，速度越快）	Beats per minutes (the greater the value, the faster the tempo)
LTC 时间超出序列时间范围时的行为	Behavior when LTC time is out of the sequence time range
投影机品牌	Brend of the projector
字节序，大多数设备使用 MSB	Byte ordering, most devices use MSB
音符消息的通道	Channel for the note message
选择自定义图像代替默认按钮	Choose a custom image instead of the default button
选择用于此序列 LTC 同步的音频模块	Choose an Audio Module to use as LTC Sync for this sequence
选择 DMX 通道的颜色顺序	Choose color DMX channels order
选择音高检测方式。\nNone 将禁用检测（以节省性能），\nMPM 更适合单音声音，\nYIN 更适合高音人声和音乐	Choose how to detect the pitch.\nNone will disable the detection (for performance),\nMPM is better suited for monophonic sounds,\nYIN is better suited for high-pitched voices and music
选择将 MIDI 模块作为路由器输出时的默认类型	Choose the default type when choosing a MIDI Module as Router output
选择要连接的 DMX 接口类型	Choose the type of dmx interface you want to connect
选择录制时的操作	Choose what to do when recording
此路由使用的分辨率和字节序	Choosing the resolution and Byte order for this routing
按钮颜色	Color for the button(s)
Web 视图中标签页的颜色	Color for the tabs in the web view
背景颜色	Color of the background
边框颜色	Color of the border
轮廓颜色	Color of the contour
当前提示颜色	Color of the current cue
下一个提示颜色	Color of the next cue
下一个提示的文字颜色	Color of the next cue's text
文字颜色	Color of the text
用于绘制边框的颜色	Color to draw the border
用于填充形状的颜色	Color to fill the shape
用于转换的颜色	Color to use to convert
按钮所在列	Column of the button
要发送的命令	Command to send
用于与源值比较的参考值	Comparison Reference to check against source value
要操作的组件。保持全部以操作所有组件。Gamgie 让我这样做的。	Component to target. Keep all to target everything. Gamgie made me do this.
转换模式	Conversion mode
随时间变化的当前颜色	Current color depending on time
相对于当天的当前小时（0 > 23）	Current hour relative to the day (0 > 23)
相对于当前小时的当前分钟（0 > 59）	Current minute relative to the current hour (0 > 59)
相对于当前分钟的当前秒（0 > 59）	Current second relative to the current minute (0 > 59)
当前年份	Current year
用于拆分消息的自定义分隔符	Custom Separator to use to split the message
DMX 通道	DMX Channel
DMX 颜色	DMX Color
DMX 值	DMX Value
数据终端就绪	Data Terminal Ready
来自水平鼠标滚轮的数据，负值表示向右。	Data received from a horizontal mouse wheel, negative for right.
来自垂直鼠标滚轮的数据，负值表示向下。	Data received from a vertical mouse wheel, negative for down.
相对于当前月份的日期（1 > 31）	Day relative to the current month (1 > 31)
相对于当前星期的日期（星期一 = 1，星期日 = 7）	Day relative to the current week (Monday = 1, Sunday = 7)
每个目标的吸引力衰减速率（1 = 每 1 秒消耗 1 点吸引力）	Decay rate of the attraction on each target (1 = empty an attraction of 1 in 1s)
决定检查条件是否有效的函数	Decides what function checks the activeness of the condition
从参数中所选通道解码出的 LTC 时间	Decoded LTC Time from the selected channel in parameters
此类型的默认大小	Default size for this type
此类型的默认样式	Default style for this type
延迟秒数	Delay in seconds
延迟命令触发	Delay the triggering of the commands
模拟输入的变化阈值。只有变化大于此阈值时才更新值。	Delta change threshold for analog inputs. Only update values if the change is greater than the threshold.
检测到的音符	Detected note
检测到的八度	Detected octave
前两个点检测到的距离	Distance detected by the first 2 points
发送设备是否在 LTC 用户位中使用日期？（几乎总是 false）	Does the sending device use the date in the LTC user bits? (Almost always false)
绘制 Voronoi 权重调试信息	Draw debug information on voronoi weights
接收或发送 LTC	Either receiving or sending LTC
用于检查条件是否激活的源元素	Element that will be the source to check if condition is active or not
启用或禁用此模块的输入数据日志	Enable / Disable logging of incoming data for this module
启用或禁用此模块的输出数据日志	Enable / Disable logging of outgoing data for this module
启用并选择用于解码 LTC 的通道	Enable and select the channel you want to use to decode LTC
启用或禁用此元素。\n大多数情况下，这意味着停止其中正在进行的处理。	Enable or disable this element.\nMost of the time it will mean stopping the process of what's going on inside it.
滤镜替换型号	Filter replacement model number
MultiClip 的第一个片段	First Clip of the MultiClip
第一个 DMX 通道	First DMX Channel
对于二维 Voronoi，这是预设周围的区域，在该区域内值将精确设置为预设值	For 2D Voronoi, this is a zone around preset for which the value will be exactly set to the preset's one
在应用停止过程时强制执行操作且不通知用户	Force action without notifying user if applications are stopping the proccedure
信号频率	Frequency of the signal
计时器频率（Hz），数值越大，节奏越快	Frequency of the timer, in Hz (the greater the value, the faster the tempo)
应用于吸引力的摩擦力	Friction to apply to the attraction force
输入音量增益	Gain for the input volume
全局时间偏移	Global time offset
此模块播放的所有声音的全局音量乘数	Global volume multiplier for all sound that is played through this module
要添加到请求的 HTTP 请求头	HTTP headers to add to the request
要用于平均的区间数？0 表示全部	How many intervals do you want to use in averaging ? 0 means all
如何分配音符	How to assign the note
如何筛选带值的窗口	How to filter windows with value
如何解析收到的数据	How to parse the incoming data
投影机 IP	IP of the projector
检测到的最可能的局域网 IP	IP that has been detected than most probable to be a LAN IP
要 Ping 的 IP	IP to ping
效果链中根据位置确定的效果 ID	Id of the effect, depending on its position in the effect chain
面板内根据位置确定的参数 ID	Id of the parameter, depending on its position inside in the panel
如果未勾选，比较器只会在有效性变化时通知；如果勾选，每次检查比较器（也就是值发生变化时）都会通知。	If NOT checked the comparator notifies only when VALIDITY changes. If checked, the comparator notifies everytime the comparator is checked, meaning everytime the value is changed.
激活后，状态的动作和映射才会生效，否则此状态不会执行任何操作。	If active, the state's actions and mappings will be effective, otherwise this state won't do anything.
如果适用，这将允许从最大值跳到最小值，反之亦然。	If applicable, this will allow going from max val to min val and vice-versa.
如果异步，这是值下降时使用的平滑方式	If async, this is the smoothing when value is falling
如果勾选，将尝试加入多播网络，而不是绑定和连接。	If check, instead of binding and connecting, it will try to join a multicast network.
如果勾选，将作为服务器发送数据，否则监听外部数据	If check, this will act as a server and send data, otherwise this will listen to external data
如果勾选，第一个值为 0，第二个值为 1，以此类推。	If checked, #1 will be 0, #2 will be 1, etc.
如果勾选，包含多个参数的消息将拆分为多个值	If checked, a message with multiple arguments will be exploded in multliple values
如果勾选，所有更改的值都会自动发回输出	If checked, all changed values will be automatically sent back to the outputs
如果勾选，所有更改的值都会自动重新发送到输出	If checked, all changed values will be resent automatically to the outputs
如果勾选，序列中的所有映射关键帧都会自动吸附到帧	If checked, all mapping keys in sequences, will be automatically snapped to frames
如果勾选，背景为不透明	If checked, background is opaque
如果勾选，每次参数变化都会触发命令	If checked, every change of parameter will trigger the command
如果勾选，收到的数据会根据“消息结构”参数解析，符合条件时会添加为值	If checked, incoming data will be parsed depending on the Message Structure parameter, and if eligible will be added as values
如果勾选，收到的消息会排序到嵌套容器中，而不是一级列表	If checked, incoming messages will be sorted in nested containers instead of 1-level
如果勾选，拖动项目靠近其他项目时会自动对齐	If checked, items are automatically aligned when dragging them closed to other ones
如果勾选，项目可编辑；否则项目只能正常使用	If checked, items are editable. If not, items are normally usable
如果勾选，控制器上会显示标签	If checked, label is shown on controller
如果勾选，模块发送的消息也会被模块自身接收	If checked, messages sent from the module will also be received by the module
如果勾选，收到的宇宙会自动添加到值列表。不适用于 OpenDMX 或 Enttec DMXPro 等单宇宙设备	If checked, received universed will automatically be added to the values. Not effective when using 1-universe devices like OpenDMX or Enttec DMXPro
如果勾选，将 MIDI 时钟发送到输出；否则接收输入 MIDI 时钟	If checked, send MIDI Clock to the output. If not, receiving incoming MIDI Clock
如果勾选，MTC 不再发送数据时序列将停止并重置时间；否则序列会保持当前时间	If checked, sequence will stop and reset time when MTC doesn't send data anymore. If not checked, sequence will just keep its current time
如果勾选，显示学习功能	If checked, show learn function
如果勾选，从 Web 仪表板切换时软件本地界面也会切换	If checked, switching from a web dashboard will change locally on the software
如果勾选，会将 0-1 空间转换为屏幕空间	If checked, the 0-1 space will be converted to the screen space
如果勾选，加载文件时应用会进入全屏，否则进入窗口模式	If checked, the app will go full screen when loading the file, otherwise it will go to window mode
如果勾选，解析消息的第一个值将用于命名该值，否则各值按索引命名	If checked, the first value of a parsed message will be used to name the value, otherwise each values will be named by their index
如果勾选，序列每次时间变化都会处理映射并发送输出	If checked, the mapping will be processed and output will be sent at each time change of the sequence
如果勾选，以音高值而不是音符名称显示音符名称	If checked, the note names will be displayed as pitch values instead of note names
如果勾选，使用参数的 ADDRESS 字段命名，而不是 DESCRIPTION 字段	If checked, the parameter's ADDRESS field will be used for naming instead of the DESCRIPTION field
如果勾选，值会显示在控件上	If checked, the value will be shown on the control
如果勾选，将作为切换开关，输入值为 1 时反转自身值	If checked, this will act as a toggle, and its value will be inverted when input value is 1
如果勾选，每个会话只需解锁一次；刷新页面会重置锁定状态。	If checked, this will allow to only have to unlock once per session. Refreshing the page will reset the lock.
如果勾选，按下按钮时会自动高亮按钮	If checked, this will automatically highlight the buttons when pressed
如果勾选，将自动滚动以显示最后触发的动作	If checked, this will automatically scroll to make the last triggered action visible
如果勾选，序列停止时会自动将 Arm 设为 false	If checked, this will automatically set Arm to false when the sequence stops
如果勾选，会将此记录的长度截断到最后记录的数据时间	If checked, this will clip the length of this record to the last recorded data time
如果勾选，会将 GPU 纹理转换为 CPU 重采样纹理并提供给 Web 客户端；代价是大图像会降低 UI 速度。	If checked, this will convert the GPU texture to a CPU rescaled one, and feed it to the web clients. The downside is that is will slow the UI on larger images.
如果勾选，将启用此参数，否则禁用此参数。简单高效。	If checked, this will enable this parameter, otherwise it will disable it. Simple. Efficient.
如果勾选，触发时会取消所有之前延迟的结果	If checked, this will ensure that when triggering, all previous delayed consequences are cancelled
如果勾选，每次变化都会强制刷新；批量更改多个值时可用于优化刷新速度	If checked, this will force a refresh on every change. This is useful to optimize refresh speed when changing multiple values at once
如果勾选，会强制高亮被触摸的按键	If checked, this will force highlighting the touched pad
如果勾选，同步 OSCQuery 远程数据结构时强制保留当前值	If checked, this will force keeping the current values when syncing the OSCQuery remote data structure.
如果勾选，强制从头播放序列	If checked, this will force playing the sequence from start
如果勾选，每次变化都强制刷新，否则不会……	If checked, this will force refreshing on every change. Otherwise this will not...
如果勾选，强制刷新屏幕；进行多项操作时关闭此项可优化性能。	If checked, this will force refreshing the screen. Deactivating this when doing multiple manipulation can help optimize performance.
如果勾选，强制搜索 X 层父级	If checked, this will force search through X level of parents
如果勾选，强制显示目标的完整地址	If checked, this will force show the full address of the target
如果勾选，强制显示目标的父级名称	If checked, this will force show the parent name of the target
如果勾选，强制将整数转换为浮点数	If checked, this will force transforming integer in floats
如果勾选，保持背景图像的饱和度	If checked, this will keep saturation on the background image
如果勾选，将监听此发送器随机分配的端口；某些软件会自动检测传入主机和端口并回传消息时很有用。	If checked, this will listen to the (randomly set) bound port of this sender. This is useful when some softwares automatically detect incoming host and port to send back messages.
如果勾选，记录输入消息	If checked, this will log incoming messages
如果勾选，记录输出消息	If checked, this will log outgoing messages
如果勾选，验证状态会在有效和无效之间交替，可将普通值转换为切换值	If checked, this will make a validation alternate between validated and invalidated, useful to transform straight values into toggles
如果勾选，一小节的第一拍为 1 而不是 0	If checked, this will make the first beat of a bar 1 instead or 0
如果勾选，将输入值归一化到 0-1；仅在输入有范围时有效	If checked, this will normalize the input value to a 0-1 range. Only works if the input has a range
如果勾选，服务器名称不同时不会同步	If checked, this will not sync if the server name is different
如果勾选，通知所有已连接客户端切换到相同仪表板	If checked, this will notify any connected client to switch to the same dashboard
如果勾选，根据提示播放序列	If checked, this will play the sequence on cue
如果勾选，录制并保存音频	If checked, this will record audio and save it
如果勾选，将布局保存到 .noisette 文件	If checked, this will save the layout in the .noisette file
如果勾选，向已连接客户端发送日志消息	If checked, this will send log messages to connected clients
如果勾选，将所有时间移动，使其从第一个动画参数关键帧开始。	If checked, this will shift all timings so it starts at the first animated parameter key.
如果勾选，显示吸附网格	If checked, this will show the snap grid
如果勾选，此提示不再是当前提示时停止序列	If checked, this will stop the sequence when this cue is not current anymore
如果勾选，开始录制时为每个参数保存关键帧	If checked, this will store a key for every parameter when starting recording
如果勾选，链接序列完成后触发下一个提示	If checked, this will trigger the next cue when the linked sequence is finished
如果勾选，使用安全连接；连接服务器使用 wss:// 时应启用此项	If checked, this will use a secure connection. Use this if the server you're connecting to is using wss://
如果勾选，使用颜色和图像设置按钮	If checked, this will use both colors and images to set buttons
如果勾选，触摸按键时会振动	If checked, this will vibrate when touching the pad
如果勾选，手动触发提示会将其设为当前提示，并将 cueIndex 设置为下一个提示	If checked, triggering a cue manually sets it current and sets cueIndex to next cue
如果勾选，值会从 0-1 重映射到 0-255（16 位模式下为 0-65535）	If checked, value will be remapped from 0-1 will to 0-255 (or 0-65535 in 16-bit mode)
如果勾选，直接启动提示时也会触发此指挥器的结果。	If checked, when directly launching a cue will also trigger this conductor's consequences.
如果勾选，提示列表结束时将提示索引再次设为 0	If checked, when finishing the cue list, this will set the cue index to 0 again
如果勾选，移动二维关键帧时，时间线中的关键帧会调整以保持相对于二维关键帧的相同时间	If checked, when moving 2d keys, the keys in the timeline will ajdust to keep the same timing relative to the 2D keys
如果勾选，将项目置顶，否则保持原位置	If checked, will bring to top, otherwise will leave where it is
如果勾选，不打开新的终端窗口；但如果进程不停止，只能关闭 Chataigne 才能终止它！	If checked, will not open a new terminal window, but if the process never stops, there is no way to shut it down without closing Chataigne !
如果勾选，将根据收到的数据和预期数据类型尝试添加值	If checked, will try to add values depending on received data and expected data type
如果勾选，可以通过安全的 wss:// 连接访问此 Web 服务器。	If checked, you will be able to access this webserver through secure, wss:// connection.
启用后，输入范围将设置为源输入范围	If enabled, the input range will be set from the source input range
启用后，实例化此模板时可以编辑参数	If enabled, the parameter will be editable when instantiating this template
启用后，启动时显示所选仪表板	If enabled, the selected dashboard will be the one displayed on startup
启用后，这是自动请求的间隔秒数，会交替查询电源和快门状态	If enabled, this is the number of seconds between auto request, alternating power and shutter status
启用后，强制对象吸附到网格	If enabled, this will force moving objects snap to grid
启用后，强制大小写保持一致	If enabled, this will force the cas
启用后，强制输出在小数点前保留指定数量的数字	If enabled, this will force the output to be with a certain mount of digits before the decimals
启用后，返回最小索引	If enabled, this will go back to the min index
启用后，覆盖发送 OSC 的端口；默认发送到 OSCQuery 端口	If enabled, this will override the port to send OSC to, default is sending to the OSCQuery port
启用后，覆盖发送 WebSocket 的端口；默认发送到 OSCQuery 端口	If enabled, this will override the port to send Websocket to, default is sending to the OSCQuery port
启用后，触发命令时会先将时间定位到 0 再播放	If enabled, when the command is triggered, will position the time at 0 before playing
启用后，设置时间后强制播放序列	If enabled, will force playing the sequence after setting the time
启用后，将时间设置为提示时间后强制播放序列	If enabled, will force playing the sequence after setting the time to the cue
启用后，会像老板一样终止进程，而且不会很温柔	If enabled, will kill like a boss, not very gently
启用后，序列结束时停止序列	If enabled, will stop the sequence when finished
启用后，可以分别设置上升平滑和下降平滑值	If enabled, you can have different rising smooth and falling smoothing values
